,fundmanager.list[j],ticker,companyname,portfoliopercentage,sharesowned,valueowned,changeinshare,averagebuyprice,valuedate,Industry
138,George Soros,ALL,Atlassian Corporation,0.38%,84.11k,$ 16.41M,233.08,$233.08 (-29.9%),2024-03-31,
139,George Soros,NET,Ishares Tr,0.38%,675k,$ 16.25M,24.05,$24.05 (+13.1%),2024-03-31,
140,George Soros,VFH,Sanofi,0.37%,325k,$ 15.79M,53.07,$53.07 (-7.7%),2024-03-31,
141,George Soros,Want to see a new feature on HedgeFollow?  Let us know,Ishares Tr,0.36%,200k,$ 15.55M,76.01,$76.01 (+1.4%),2024-03-31,
142,George Soros,DDOG,American Intl Group Inc,0.35%,195.40k,$ 15.27M,72.96,$72.96 (+4.2%),2024-03-31,
143,George Soros,TEAM,Bgc Group Inc,0.35%,1.96M,$ 15.21M,5.02,$5.02 (+61.6%),2024-03-31,
144,George Soros,FXI,Honeywell Intl Inc,0.35%,73.61k,$ 15.11M,199.13,$199.13 (+4.8%),2024-03-31,
145,George Soros,SNY,Matador Res Co,0.35%,225k,$ 15.02M,61.82,$61.82 (-6.1%),2024-03-31,
146,George Soros,HYG,Intuitive Surgical Inc,0.35%,37.50k,$ 14.97M,314.83,$314.83 (+32.6%),2024-03-31,
147,George Soros,AIG,Alphabet Inc,5.23%,1.49M,$ 224.98M,106.14,$106.14 (+64.4%),2024-03-31,
148,George Soros,BGC,Aercap Holdings Nv,3.97%,1.97M,$ 170.90M,62.78,$62.78 (+44.0%),2024-03-31,
149,George Soros,HON,American Eqty Invt Life Hld,2.51%,1.92M,$ 107.90M,53.63,$53.63 (+5.3%),2024-03-31,
150,George Soros,Tip: See hot stocks to find heavily traded stocks over past week/month,Novo-nordisk A S,2.38%,797.62k,$ 102.41M,86.14,$86.14 (+65.9%),2024-03-31,
151,George Soros,MTDR,Cerevel Therapeutics Hldng I,1.91%,1.94M,$ 82.01M,42.34,$42.34 (-5.5%),2024-03-31,
152,George Soros,ISRG,Liberty Broadband Corp,1.85%,1.39M,$ 79.54M,58.99,$58.99 (-12.5%),2024-03-31,
153,Bill Ackman,CMG,Chipotle Mexican Grill Inc,20.10%,743.98k,$ 2.16B,435.72,$435.72 (+627.3%),2024-03-31,Cosumer Staple
154,Bill Ackman,HLT,Hilton Worldwide Hldgs Inc,18.20%,9.18M,$ 1.96B,86.89,$86.89 (+132.7%),2024-03-31,Consumer Discretionary
155,Bill Ackman,QSR,Restaurant Brands Intl Inc,16.30%,23.73M,$ 1.73B,43.17,$43.17 (+59.3%),2024-04-25,Cosumer Staple
156,Bill Ackman,GOOG,Alphabet Inc,13.27%,9.38M,$ 1.43B,98.62,$98.62 (+78.4%),2024-03-31,Tech
157,Bill Ackman,CP,Canadian Pacific Kansas City,12.37%,15.10M,$ 1.33B,68.4,$68.4 (+12.9%),2024-03-31,Transportation
158,Bill Ackman,HHH,Howard Hughes Holdings Inc,11.56%,18.85M,$ 1.23B,83.91,$83.91 (-20.3%),2024-05-23,Real Estate
159,Bill Ackman,GOOGL,Alphabet Inc,6.11%,4.35M,$ 657.27M,110.58,$110.58 (+57.8%),2024-03-31,Tech
160,Bill Ackman,LOW,Lowes Cos Inc,0.00%,0,$0 ,99.48,$99.48 (+117.8%),2024-03-31,
161,Bill Ackman, ,Chipotle Mexican Grill Inc,20.10%,743.98k,$ 2.16B,435.72,$435.72 (+627.3%),2024-03-31,
162,John Paulson,MDGL,Madrigal Pharmaceuticals Inc,32.74%,1.77M,$ 474M,220.96,$220.96 (+10.6%),2024-03-31,
163,John Paulson,BHC,Bausch Health Cos Inc,19.37%,26.44M,$ 280.52M,95.01,$95.01 (-93.4%),2024-03-31,
164,John Paulson,BSIG,Brightsphere Invt Group Inc,14.12%,8.95M,$ 204.42M,12.02,$12.02 (+82.7%),2024-03-31,
165,John Paulson,PPTA,Perpetua Resources Corp,7.12%,24.77M,$ 103.05M,5.41,$5.41 (+22.4%),2024-03-31,
166,John Paulson,NG,Novagold Res Inc,5.64%,27.24M,$ 81.71M,3.53,$3.53 (+5.4%),2024-03-31,
167,John Paulson,AU,Anglogold Ashanti Plc,4.50%,2.93M,$ 65.11M,18.39,$18.39 (+24.4%),2024-03-31,
168,John Paulson,AEM,Agnico Eagle Mines Ltd,3.23%,783.56k,$ 46.74M,57.19,$57.19 (+11.6%),2024-03-31,
169,John Paulson,THRY,Thryv Hldgs Inc,3.07%,2M,$ 44.46M,13.5,$13.5 (+53.0%),2024-03-31,
170,John Paulson, ,International Tower Hill Min,3.06%,64.20M,$ 44.30M,0.67,$0.67 (-13.4%),2024-03-31,
171,John Paulson,THM,Newmark Group Inc,2.30%,3M,$ 33.27M,10.25,$10.25 (-3.3%),2024-03-31,
172,John Paulson,NMRK,Seabridge Gold Inc,2.16%,2.07M,$ 31.30M,16.13,$16.13 (-9.9%),2024-03-31,
173,John Paulson,SA,Equinox Gold Corp,1.04%,2.50M,$ 15.05M,8.93,$8.93 (-42.7%),2024-03-31,
174,John Paulson,EQX,Trilogy Metals Inc New,0.49%,14.33M,$ 7.16M,1.56,$1.56 (-68.6%),2024-03-31,
175,John Paulson,TMQ,Iamgold Corp,0.43%,1.85M,$ 6.16M,5.77,$5.77 (-38.0%),2024-03-31,
176,John Paulson,IAG,Alibaba Group Hldg Ltd,0.25%,50k,$ 3.62M,154,$154 (-49.1%),2024-03-31,
177,John Paulson,BABA,Tellurian Inc New,0.24%,5.34M,$ 3.52M,3.7,$3.7 (-79.7%),2024-03-31,
178,John Paulson,TELL,Altice Usa Inc,0.21%,1.16M,$ 3.03M,2.93,$2.93 (-16.0%),2024-03-31,
179,John Paulson, ,Carrols Restaurant Group Inc,0.04%,58.01k,$ 552k,8.7,$8.7 (+9.7%),2024-03-31,
180,John Paulson,ATUS,Ssr Mining In,0.00%,0,$0 ,15.22,$15.22 (-67.1%),2024-03-31,
181,John Paulson,TAST,Madrigal Pharmaceuticals Inc,32.74%,1.77M,$ 474M,220.96,$220.96 (+10.6%),2024-03-31,
182,John Paulson,SSRM,Bausch Health Cos Inc,19.37%,26.44M,$ 280.52M,95.01,$95.01 (-93.4%),2024-03-31,
183,David Tepper,BABA,Alibaba Group Hldg Ltd,12.17%,11.25M,$ 814.05M,81.24,$81.24 (-3.5%),2024-03-31,
184,David Tepper,AMZN,Amazon Com Inc,10.32%,3.83M,$ 690.50M,116.71,$116.71 (+57.9%),2024-03-31,
185,David Tepper,MSFT,Microsoft Corp,8.80%,1.40M,$ 589.01M,304.77,$304.77 (+39.1%),2024-03-31,
186,David Tepper,META,Meta Platforms Inc,8.15%,1.12M,$ 545.06M,233.13,$233.13 (+111.5%),2024-03-31,
187,David Tepper,NVDA,Nvidia Corporation,5.97%,442k,$ 399.37M,330.52,$330.52 (+265.8%),2024-03-31,
188,David Tepper,GOOG,Alphabet Inc,4.72%,2.08M,$ 315.94M,70.34,$70.34 (+150.1%),2024-03-31,
189,David Tepper,AMD,Advanced Micro Devices Inc,4.40%,1.63M,$ 294.20M,105.96,$105.96 (+58.4%),2024-03-31,
190,David Tepper,ORCL,Oracle Corp,4.32%,2.30M,$ 288.90M,109.85,$109.85 (+14.6%),2024-03-31,
191,David Tepper, ,Pdd Holdings Inc,3.65%,2.10M,$ 244.13M,111.5,$111.5 (+29.1%),2024-03-31,
192,David Tepper,PDD,Baidu Inc,2.83%,1.80M,$ 189.50M,123.21,$123.21 (-22.2%),2024-03-31,
193,David Tepper,BIDU,Adobe Inc,2.64%,350k,$ 176.61M,550.6,$550.6 (-15.5%),2024-03-31,
194,David Tepper,ADBE,Fedex Corp,2.60%,600k,$ 173.84M,218.09,$218.09 (+13.6%),2024-03-31,
195,David Tepper,FDX,Qualcomm Inc,2.51%,990k,$ 167.61M,123.31,$123.31 (+67.6%),2024-03-31,
196,David Tepper,QCOM,Intel Corp,2.48%,3.75M,$ 165.64M,33.06,$33.06 (-7.0%),2024-03-31,
197,David Tepper,INTC,Ishares Tr,2.29%,6.38M,$ 153.45M,24.05,$24.05 (+13.1%),2024-03-31,
198,David Tepper,FXI,Micron Technology Inc,2.14%,1.22M,$ 143.24M,61.73,$61.73 (+112.1%),2024-03-31,
199,David Tepper,MU,Energy Transfer L P,2.03%,8.64M,$ 135.98M,10.02,$10.02 (+54.5%),2024-03-31,
200,David Tepper, ,Lam Research Corp,1.67%,115k,$ 111.73M,586.49,$586.49 (+64.1%),2024-03-31,
201,David Tepper,ET,Uber Technologies Inc,1.56%,1.36M,$ 104.71M,31.49,$31.49 (+120.1%),2024-03-31,
202,David Tepper,LRCX,Caesars Entertainment Inc Ne,1.50%,2.30M,$ 100.60M,46.21,$46.21 (-22.0%),2024-03-31,
203,David Tepper,UBER,Jd.com Inc,1.49%,3.65M,$ 99.97M,28.14,$28.14 (+4.2%),2024-03-31,
204,David Tepper,CZR,Unitedhealth Group Inc,1.48%,200k,$ 98.94M,350.23,$350.23 (+40.1%),2024-03-31,
205,David Tepper,JD,Kraneshares Tr,1.36%,3.48M,$ 91.22M,26.63,$26.63 (+11.5%),2024-03-31,
206,David Tepper,UNH,United Parcel Service Inc,1.33%,600k,$ 89.18M,155.95,$155.95 (-11.7%),2024-03-31,
207,David Tepper,KWEB,Asml Holding N V,1.16%,80k,$ 77.64M,702.73,$702.73 (+46.3%),2024-03-31,
