,fundmanager.list[j],ticker,companyname,portfoliopercentage,ownedvalue,changeinshare,averagebuyprice,valuedate,Industry,,,
92,Michael Burry,BRKR,Amazon Com Inc,0.00%,0,139.53,$139.53 (+32.1%),2024-03-31,,,,
93,Michael Burry,BKNG,Alphabet Inc,0.00%,0,135.28,$135.28 (+29.0%),2024-03-31,,,,
94,Michael Burry,BIG,Jd.com Inc,9.53%,360k,29.53,$29.53 (-0.7%),2024-03-31,,,,
95,Michael Burry,AMZN,Alibaba Group Hldg Ltd,8.74%,125k,80.42,$80.42 (-2.5%),2024-03-31,,,,
96,Michael Burry,GOOGL,Hca Healthcare Inc,8.06%,25k,267.09,$267.09 (+26.3%),2024-03-31,,,,
97,George Soros,GOOGL,Alphabet Inc,5.23%,1.49M,106.14,$106.14 (+64.4%),2024-03-31,Tech,,,
98,George Soros,AER,Aercap Holdings Nv,3.97%,1.97M,62.78,$62.78 (+44.0%),2024-03-31,Finance,미국-아일랜드 항공 임대 회사,,
99,George Soros,AEL,American Eqty Invt Life Hld,2.51%,1.92M,53.63,$53.63 (+5.3%),2024-03-31,Finance,American Equity Investment Life?Insurance Company® is a leader in the fixed index annuities marketplace,,
100,George Soros,NVO,Novo-nordisk A S,2.38%,797.62k,86.14,$86.14 (+65.9%),2024-03-31,Health Care,"노보 노디스크는 덴마크의 다국적 제약사이다. 본사는 덴마크에 위치해 있으며 생산 시설은 9개국에, 관계사나 오피스는 5개국에 위치해 있다. 노보 노디스크는 특히 당뇨병 약물 및 기기 등의 의약품과 서비스를 제조하고 마케팅한다.",,
101,George Soros,CERE,Cerevel Therapeutics Hldng I,1.91%,1.94M,42.34,$42.34 (-5.5%),2024-03-31,Health Care,Unraveling the mysteries of the brain to treat neuroscience diseases,,
102,George Soros,LBRDK,Liberty Broadband Corp,1.85%,1.39M,58.99,$58.99 (-12.5%),2024-03-31,Consumer Discretionary,"Liberty Broadband Corporation?owns communications businesses providing a wide range of cable, data, wireless, video, voice, and managed services",,
103,George Soros,AMZN,Amazon Com Inc,1.66%,395.51k,149.69,$149.69 (+23.1%),2024-03-31,Tech,,,
104,George Soros,CRH,Crh Plc,1.59%,791.54k,54.9,$54.9 (+41.7%),2024-03-31,Industrial,"CRH plc는 아일랜드 더블린에 본사를 두고 있는 다양한 건축자재 기업의 국제 그룹입니다. 건설산업에 필요한 다양한 제품을 생산, 공급",,
105,George Soros, ,Aramark,1.56%,2.06M,30.58,$30.58 (+8.7%),2024-03-31,Cosumer Staple,"Aramark는 교육, 교도소, 의료, 비즈니스, 레저 등 분야의 고객에게 미국의 음식 서비스 및 시설 서비스 제공업체",,
106,George Soros,ARMK,Booking Holdings Inc,1.51%,17.91k,2193.75,$2193.75 (+73.8%),2024-03-31,Tech,"Booking Holdings?is the world's leader in online travel. Brands include Booking.com, priceline.com, agoda.com, Kayak, Rentalcars.com & OpenTable",,
107,George Soros,BKNG,Jacobs Solutions Inc,1.25%,350.85k,129.58,$129.58 (+7.3%),2024-03-31,Industrial,"회사, 조직, 정부 기관을 포함하여 전 세계적으로 광범위한 고객을 대상으로 엔지니어링, 기술, 전문 및 건설 서비스는 물론 과학 및 전문 컨설팅",,
108,George Soros,J,Uber Technologies Inc,1.08%,606.36k,29.3,$29.3 (+136.6%),2024-03-31,Tech,,,
109,George Soros,UBER,Okta Inc,1.04%,426.33k,97.58,$97.58 (-10.4%),2024-03-31,Tech,"미국의 ID 및 액세스 관리 회사입니다. 기업이 애플리케이션에 대한 사용자 인증을 관리 및 보호하고, 개발자가 애플리케이션, 웹 사이트, 웹 서비스 및 장치에 ID 제어를 구축하는 데 도움이 되는 클라우드 소프트웨어",,
110,George Soros,OKTA,Westrock Co,1.03%,900k,45.49,$45.49 (+14.0%),2024-03-31,Industrial,WestRock은 미국 골판지 포장 회사입니다. MeadWestvaco와 RockTenn의 합병 후 2015년 7월에 형성되었습니다,,
111,George Soros,WRK,Cboe Global Mkts Inc,0.88%,205.78k,125.66,$125.66 (+37.4%),2024-03-31,,,,
112,George Soros,CBOE,Ishares Inc,0.86%,642.50k,49.11,$49.11 (+18.0%),2024-03-31,,,,
113,George Soros,EMXC,Pg&e Corp,0.82%,2.12M,17.4,$17.4 (+3.7%),2024-03-31,,,,
114,George Soros, ,Accenture Plc Ireland,0.79%,97.86k,323.39,$323.39 (-10.8%),2024-03-31,,,,
115,George Soros,PCG,Doordash Inc,0.72%,224.94k,76.19,$76.19 (+48.7%),2024-03-31,,,,
116,George Soros,ACN,D R Horton Inc,0.68%,178.60k,147.15,$147.15 (-4.7%),2024-03-31,,,,
117,George Soros,DASH,Nike Inc,0.68%,310.72k,117.21,$117.21 (-17.6%),2024-03-31,,,,
118,George Soros,DHI,Teck Resources Ltd,0.65%,613.45k,42.88,$42.88 (+14.7%),2024-03-31,,,,
119,George Soros,NKE,Sunrun Inc,0.64%,2.08M,16.41,$16.41 (-18.0%),2024-03-31,,,,
120,George Soros,TECK,Astrazeneca Plc,0.63%,400k,67.55,$67.55 (+18.5%),2024-03-31,,,,
121,George Soros,RUN,Ishares Tr,0.62%,245k,109.79,$109.79 (-1.7%),2024-03-31,,,,
122,George Soros,AZN,Interactive Brokers Group In,0.62%,237.45k,73.43,$73.43 (+68.5%),2024-03-31,,,,
123,George Soros,Tip: Chat with us if you need help or have suggestions ,Vestis Corporation,0.61%,1.36M,19.82,$19.82 (-38.2%),2024-03-31,,,,
124,George Soros,LQD,Ishares Tr,0.60%,241.40k,113.46,$113.46 (-6.0%),2024-03-31,,,,
125,George Soros,IBKR,Merck & Co Inc,0.54%,175k,105.99,$105.99 (+23.3%),2024-03-31,,,,
126,George Soros,VSTS,Csx Corp,0.53%,610k,32.15,$32.15 (+1.9%),2024-03-31,,,,
127,George Soros,MUB,Renaissancere Hldgs Ltd,0.53%,96.19k,193.43,$193.43 (+17.8%),2024-03-31,,,,
128,George Soros,MRK,Indie Semiconductor Inc,0.52%,3.17M,8.18,$8.18 (-9.2%),2024-03-31,,,,
129,George Soros,CSX,Neurocrine Biosciences Inc,0.51%,159.78k,116.56,$116.56 (+15.8%),2024-03-31,,,,
130,George Soros,RNR,Spdr Ser Tr,0.51%,434.96k,49.94,$49.94 (-5.0%),2024-03-31,,,,
131,George Soros,INDI,Darling Ingredients Inc,0.48%,441.86k,49.18,$49.18 (-24.7%),2024-03-31,,,,
132,George Soros,Tip: Chat with us if you need help or have suggestions ,Axonics Inc,0.47%,295.95k,65.6,$65.6 (+2.3%),2024-03-31,,,,
133,George Soros,NBIX,Gfl Environmental Inc,0.47%,580.34k,34.51,$34.51 (+5.5%),2024-03-31,,,,
134,George Soros,KRE,Allstate Corp,0.43%,107.57k,123.51,$123.51 (+33.6%),2024-03-31,,,,
135,George Soros,DAR,Cloudflare Inc,0.42%,185.36k,90.05,$90.05 (-21.5%),2024-03-31,,,,
136,George Soros,AXNX,Vanguard World Fds,0.42%,174.59k,78.74,$78.74 (+27.1%),2024-03-31,,,,
137,George Soros,GFL,Datadog Inc,0.40%,140.59k,101.93,$101.93 (+7.4%),2024-03-31,,,,
138,George Soros,ALL,Atlassian Corporation,0.38%,84.11k,233.08,$233.08 (-29.9%),2024-03-31,,,,
139,George Soros,NET,Ishares Tr,0.38%,675k,24.05,$24.05 (+13.1%),2024-03-31,,,,
140,George Soros,VFH,Sanofi,0.37%,325k,53.07,$53.07 (-7.7%),2024-03-31,,,,
141,George Soros,Want to see a new feature on HedgeFollow?  Let us know,Ishares Tr,0.36%,200k,76.01,$76.01 (+1.4%),2024-03-31,,,,
142,George Soros,DDOG,American Intl Group Inc,0.35%,195.40k,72.96,$72.96 (+4.2%),2024-03-31,,,,
143,George Soros,TEAM,Bgc Group Inc,0.35%,1.96M,5.02,$5.02 (+61.6%),2024-03-31,,,,
144,George Soros,FXI,Honeywell Intl Inc,0.35%,73.61k,199.13,$199.13 (+4.8%),2024-03-31,,,,
145,George Soros,SNY,Matador Res Co,0.35%,225k,61.82,$61.82 (-6.1%),2024-03-31,,,,
146,George Soros,HYG,Intuitive Surgical Inc,0.35%,37.50k,314.83,$314.83 (+32.6%),2024-03-31,,,,
147,George Soros,AIG,Alphabet Inc,5.23%,1.49M,106.14,$106.14 (+64.4%),2024-03-31,,,,
148,George Soros,BGC,Aercap Holdings Nv,3.97%,1.97M,62.78,$62.78 (+44.0%),2024-03-31,,,,
149,George Soros,HON,American Eqty Invt Life Hld,2.51%,1.92M,53.63,$53.63 (+5.3%),2024-03-31,,,,
150,George Soros,"Did you know: The largest hedge funds have difficulty deploying capital to small-cap stocks, hence often miss out on big winners.",Novo-nordisk A S,2.38%,797.62k,86.14,$86.14 (+65.9%),2024-03-31,,,,
151,George Soros,MTDR,Cerevel Therapeutics Hldng I,1.91%,1.94M,42.34,$42.34 (-5.5%),2024-03-31,,,,
152,George Soros,ISRG,Liberty Broadband Corp,1.85%,1.39M,58.99,$58.99 (-12.5%),2024-03-31,,,,
153,Bill Ackman,CMG,Chipotle Mexican Grill Inc,20.10%,743.98k,435.72,$435.72 (+627.3%),2024-03-31,Cosumer Staple,,,
154,Bill Ackman,HLT,Hilton Worldwide Hldgs Inc,18.20%,9.18M,86.89,$86.89 (+132.7%),2024-03-31,Consumer Discretionary,,,
155,Bill Ackman,QSR,Restaurant Brands Intl Inc,16.30%,23.73M,43.17,$43.17 (+59.3%),2024-04-25,Cosumer Staple,"Restaurant Brands International Inc.?(RBI) is a Canadian-American?multinational?fast food?holding company. It was formed in 2014 by the $12.5 billion merger between American fast food restaurant chain?Burger King?and Canadian coffee shop and restaurant chain?Tim Hortons, and expanded by the 2017 purchase of American fast-food chain?Popeyes. The company is the?fifth-largest?operator of?fast food restaurants?in the world after?Subway,?McDonald's Corporation,?Starbucks?and?Yum! Brands. They are based alongside Tim Hortons in?Toronto?(previously?Oakville, Ontario).[4]?For tax purposes, Burger King and Popeyes retain their existing operations and headquarters, both in?Miami. The 2014 merger focused primarily on expanding the international reach of the Tim Hortons brand and providing financial efficiencies for both companies.",,
156,Bill Ackman,GOOG,Alphabet Inc,13.27%,9.38M,98.62,$98.62 (+78.4%),2024-03-31,Tech,,,
157,Bill Ackman,CP,Canadian Pacific Kansas City,12.37%,15.10M,68.4,$68.4 (+12.9%),2024-03-31,Transportation,CPKC로 사업을 하고 있는 Canadian Pacific Kansas City Limited는 2023년 4월 14일 Canadian Pacific Railway와 Kansas City Southern이 합병되어 탄생한 캐나다 철도 지주회사입니,,
158,Bill Ackman,HHH,Howard Hughes Holdings Inc,11.56%,18.85M,83.91,$83.91 (-20.3%),2024-05-23,Real Estate,Howard Hughes Holdings Inc.(이전 Howard Hughes Corporation)는 텍사스 주 우드랜즈에 본사를 둔 부동산 개발 및 관리 회사,,
159,Bill Ackman,GOOGL,Alphabet Inc,6.11%,4.35M,110.58,$110.58 (+57.8%),2024-03-31,Tech,,,
160,Bill Ackman,LOW,Lowes Cos Inc,0.00%,0,99.48,$99.48 (+117.8%),2024-03-31,,,,
161,Bill Ackman, ,Chipotle Mexican Grill Inc,20.10%,743.98k,435.72,$435.72 (+627.3%),2024-03-31,,,,
